year,month,station
1960.0,1.0,aberporth
1960.0,2.0,aberporth
1960.0,3.0,aberporth
1960.0,4.0,aberporth
1960.0,5.0,aberporth
1960.0,6.0,aberporth
1960.0,7.0,aberporth
1960.0,8.0,aberporth
1960.0,9.0,aberporth
1960.0,10.0,aberporth
1960.0,11.0,aberporth
1960.0,12.0,aberporth
1961.0,1.0,aberporth
1961.0,2.0,aberporth
1961.0,3.0,aberporth
1961.0,4.0,aberporth
1961.0,5.0,aberporth
1961.0,6.0,aberporth
1961.0,7.0,aberporth
1961.0,8.0,aberporth
1961.0,9.0,aberporth
1961.0,10.0,aberporth
1961.0,11.0,aberporth
1961.0,12.0,aberporth
1962.0,1.0,aberporth
1962.0,2.0,aberporth
1962.0,3.0,aberporth
1962.0,4.0,aberporth
1962.0,5.0,aberporth
1962.0,6.0,aberporth
1962.0,7.0,aberporth
1962.0,8.0,aberporth
1962.0,9.0,aberporth
1962.0,10.0,aberporth
1962.0,11.0,aberporth
1962.0,12.0,aberporth
1963.0,1.0,aberporth
1963.0,2.0,aberporth
1963.0,3.0,aberporth
1963.0,4.0,aberporth
1963.0,5.0,aberporth
1963.0,6.0,aberporth
1963.0,7.0,aberporth
1963.0,8.0,aberporth
1963.0,9.0,aberporth
1963.0,10.0,aberporth
1963.0,11.0,aberporth
1963.0,12.0,aberporth
1964.0,1.0,aberporth
1964.0,2.0,aberporth
1964.0,3.0,aberporth
1964.0,4.0,aberporth
1964.0,5.0,aberporth
1964.0,6.0,aberporth
1964.0,7.0,aberporth
1964.0,8.0,aberporth
1964.0,9.0,aberporth
1964.0,10.0,aberporth
1964.0,11.0,aberporth
1964.0,12.0,aberporth
1965.0,1.0,aberporth
1965.0,2.0,aberporth
1965.0,3.0,aberporth
1965.0,4.0,aberporth
1965.0,5.0,aberporth
1965.0,6.0,aberporth
1965.0,7.0,aberporth
1965.0,8.0,aberporth
1965.0,9.0,aberporth
1965.0,10.0,aberporth
1965.0,11.0,aberporth
1965.0,12.0,aberporth
1966.0,1.0,aberporth
1966.0,2.0,aberporth
1966.0,3.0,aberporth
1966.0,4.0,aberporth
1966.0,5.0,aberporth
1966.0,6.0,aberporth
1966.0,7.0,aberporth
1966.0,8.0,aberporth
1966.0,9.0,aberporth
1966.0,10.0,aberporth
1966.0,11.0,aberporth
