rain
89.6
3.0
52.0
66.7
8.0
49.0
98.0
68.4
7.2
78.6
135.0
64.4
28.1
9.5
90.2
13.7
8.5
45.6
17.5
65.1
170.2
77.6
21.6
121.2
69.1
95.9
133.5
53.4
36.6
50.8
28.6
111.8
67.9
21.6
32.9
125.3
14.1
57.4
17.3
42.1
113.8
24.8
14.8
31.3
24.9
126.8
117.6
91.9
101.7
79.6
22.4
73.7
30.0
34.9
33.8
14.6
80.5
55.6
134.7
40.2
94.8
140.8
29.9
35.2
42.4
72.7
27.3
88.7
26.8
60.4
83.6
99.6
36.1
41.8
59.1
71.2
42.3
27.8
90.5
74.6
57.7
73.0
15.1
128.9
27.1
42.4
62.2
43.9
73.2
96.7
44.0
84.7
33.4
59.5
83.1
47.3
66.1
48.6
86.7
70.4
73.1
102.4
66.8
106.9
67.1
280.7
45.7
83.1
123.3
96.7
37.9
38.9
92.4
26.9
40.0
79.9
63.6
61.9
27.0
99.2
27.0
22.1
123.5
41.3
17.4
101.3
10.1
83.5
50.6
57.9
110.3
20.1
207.3
87.9
36.0
22.5
53.8
45.6
17.3
38.9
23.1
150.5
110.4
47.2
25.6
41.1
18.1
110.2
76.8
47.8
37.3
42.0
11.4
186.2
74.2
112.0
48.5
40.1
84.5
81.1
57.4
12.9
42.9
124.8
44.0
42.9
31.7
96.6
23.5
10.9
91.0
33.1
33.5
138.4
68.9
53.7
98.1
238.5
15.1
112.3
90.6
105.1
25.5
59.9
34.6
86.9
63.9
47.3
3.5
105.2
96.4
135.5
36.8
47.2
55.1
47.3
47.7
38.2
3.4
18.4
35.3
108.8
112.7
221.7
96.4
68.1
107.9
1.7
33.9
111.3
81.6
157.0
61.3
93.5
40.6
94.2
133.6
31.7
87.7
77.1
82.2
17.8
24.6
53.0
54.2
108.1
93.9
48.7
16.6
120.6
124.1
38.2
34.7
9.6
75.2
70.6
39.1
64.1
95.8
250.9
107.5
144.0
19.5
33.0
91.9
33.9
112.2
39.3
92.7
96.4
82.5
205.1
34.7
141.4
97.1
37.9
41.8
32.9
82.1
46.7
140.1
123.2
103.9
31.6
28.9
91.2
62.6
55.4
66.4
84.5
129.1
38.9
123.3
18.2
33.0
107.1
39.0
27.6
59.8
41.9
27.6
133.9
55.8
145.1
36.9
74.2
66.4
125.0
80.1
129.9
64.5
8.8
17.8
40.4
74.2
20.1
64.6
156.7
104.7
15.2
53.3
87.0
43.4
55.5
133.7
41.9
52.5
77.8
57.3
80.3
91.0
8.9
31.6
24.7
3.5
16.3
54.6
19.7
54.8
43.3
122.7
80.6
58.2
85.9
19.7
50.9
108.7
77.5
48.1
31.6
57.1
133.3
42.8
150.6
77.9
44.0
9.6
23.3
58.2
52.5
44.6
80.8
76.4
10.1
38.2
84.1
106.5
68.5
90.1
75.7
133.6
76.1
155.5
108.1
116.9
12.0
66.9
95.3
0.0
68.7
109.7
78.2
101.6
73.0
93.0
134.6
16.3
83.6
38.1
71.5
43.8
27.7
12.4
62.6
190.8
9.9
60.4
107.5
92.9
49.7
19.3
61.7
70.5
108.2
153.2
51.2
79.3
103.8
143.7
65.0
84.6
51.9
28.7
59.3
40.7
72.9
29.6
184.5
75.1
74.9
40.2
30.5
4.4
27.8
50.1
35.5
51.8
44.9
10.7
126.8
230.2
188.8
127.5
31.6
42.5
52.8
18.5
51.2
117.1
80.4
58.7
145.2
106.0
57.9
57.2
25.1
73.8
77.3
80.9
90.5
142.6
51.9
17.0
101.3
17.8
82.7
3.5
32.1
79.0
144.8
50.6
77.4
30.0
94.2
153.3
48.5
38.6
54.6
94.2
95.9
29.0
47.8
45.3
43.7
23.6
80.9
47.5
17.5
20.1
75.9
2.7
81.2
52.1
21.2
38.2
24.8
90.0
66.7
45.1
62.7
20.6
94.3
25.6
85.9
37.3
106.1
60.2
71.7
100.1
146.1
199.7
99.5
146.6
82.5
62.5
53.7
13.8
80.6
100.4
10.4
93.8
96.2
91.5
171.8
143.0
98.7
55.7
75.2
36.4
28.7
31.5
46.5
93.0
55.6
147.6
95.3
17.3
8.6
0.8
51.3
19.6
63.3
63.0
42.9
92.7
134.9
100.8
150.4
33.6
33.3
54.6
33.0
48.8
119.6
51.8
56.4
160.8
46.7
67.6
74.9
81.3
31.0
7.9
5.3
98.3
0.0
41.4
115.8
216.4
88.6
34.3
25.4
69.1
54.1
90.0
9.4
67.8
49.5
70.6
11.2
45.0
89.2
56.6
102.6
40.1
97.5
149.9
31.1
15.7
21.3
88.9
32.8
53.6
35.1
48.8
94.0
38.3
51.3
63.5
10.9
5.3
38.2
14.7
53.1
68.8
139.0
69.6
47.0
54.0
20.6
27.7
99.3
56.1
49.3
83.3
8.1
105.4
69.3
23.4
69.1
108.2
96.5
24.6
110.0
93.5
35.8
139.4
84.3
75.4
45.0
170.4
54.8
27.9
34.3
22.9
24.6
28.2
29.7
34.0
70.9
142.0
30.0
23.1
44.7
96.3
59.2
21.1
92.2
86.1
46.7
43.2
122.2
